,time,system_configuration,num_beams,num_bins,pings_per_ensemble,depth_bin_length,blanking_distance,low_correlation_threshold,percent_good_minimum,error_velocity_threshold,coordinate_transformation,heading_alignment,heading_bias,sensor_source,bin0_distance,transmit_pulse_length,ensemble_number,rtc_year,rtc_month,rtc_day,rtc_hour,rtc_minute,rtc_second,rtc_hundredths,bit_result,speed_of_sound,depth,heading,pitch,roll,salinity,temperature,min_ping_wait_minutes,min_ping_wait_seconds,min_ping_wait_hundredths,heading_standard_deviation,pitch_standard_deviation,roll_standard_deviation,adc_rounded_voltage,pressure,pressure_variance,rel_vel_pressure_u,rel_vel_pressure_v,rel_vel_pressure_w,rel_vel_dvl_u,rel_vel_dvl_v,rel_vel_dvl_w,ocn_vel_u,ocn_vel_v,ocn_vel_w,abs_vel_btm_u,abs_vel_btm_v,abs_vel_btm_w,delta_x,delta_y,delta_z,delta_t,delta_z_pressure,delta_pitch,rel_pos_x,rel_pos_y,rel_pos_z,rel_pos_x_dvl_dr,rel_pos_y_dvl_dr,rel_pos_z_dvl_dr,origin_x,origin_y,angle_of_attack,num_good_vel_bins,bathy_factor_depth,bathy_factor_slope,bathy_factor_orient,vel_bin0_beam0,vel_bin0_beam1,vel_bin0_beam2,vel_bin0_beam3,vel_bin1_beam0,vel_bin1_beam1,vel_bin1_beam2,vel_bin1_beam3,vel_bin2_beam0,vel_bin2_beam1,vel_bin2_beam2,vel_bin2_beam3,vel_bin3_beam0,vel_bin3_beam1,vel_bin3_beam2,vel_bin3_beam3,vel_bin4_beam0,vel_bin4_beam1,vel_bin4_beam2,vel_bin4_beam3,vel_bin5_beam0,vel_bin5_beam1,vel_bin5_beam2,vel_bin5_beam3,vel_bin6_beam0,vel_bin6_beam1,vel_bin6_beam2,vel_bin6_beam3,vel_bin7_beam0,vel_bin7_beam1,vel_bin7_beam2,vel_bin7_beam3,vel_bin8_beam0,vel_bin8_beam1,vel_bin8_beam2,vel_bin8_beam3,vel_bin9_beam0,vel_bin9_beam1,vel_bin9_beam2,vel_bin9_beam3,vel_bin10_beam0,vel_bin10_beam1,vel_bin10_beam2,vel_bin10_beam3,vel_bin11_beam0,vel_bin11_beam1,vel_bin11_beam2,vel_bin11_beam3,vel_bin12_beam0,vel_bin12_beam1,vel_bin12_beam2,vel_bin12_beam3,vel_bin13_beam0,vel_bin13_beam1,vel_bin13_beam2,vel_bin13_beam3,vel_bin14_beam0,vel_bin14_beam1,vel_bin14_beam2,vel_bin14_beam3,vel_bin15_beam0,vel_bin15_beam1,vel_bin15_beam2,vel_bin15_beam3,vel_bin16_beam0,vel_bin16_beam1,vel_bin16_beam2,vel_bin16_beam3,vel_bin17_beam0,vel_bin17_beam1,vel_bin17_beam2,vel_bin17_beam3,vel_bin18_beam0,vel_bin18_beam1,vel_bin18_beam2,vel_bin18_beam3,vel_bin19_beam0,vel_bin19_beam1,vel_bin19_beam2,vel_bin19_beam3,vel_bin20_beam0,vel_bin20_beam1,vel_bin20_beam2,vel_bin20_beam3,vel_bin21_beam0,vel_bin21_beam1,vel_bin21_beam2,vel_bin21_beam3,vel_bin22_beam0,vel_bin22_beam1,vel_bin22_beam2,vel_bin22_beam3,vel_bin23_beam0,vel_bin23_beam1,vel_bin23_beam2,vel_bin23_beam3,vel_bin24_beam0,vel_bin24_beam1,vel_bin24_beam2,vel_bin24_beam3,vel_bin25_beam0,vel_bin25_beam1,vel_bin25_beam2,vel_bin25_beam3,vel_bin26_beam0,vel_bin26_beam1,vel_bin26_beam2,vel_bin26_beam3,vel_bin27_beam0,vel_bin27_beam1,vel_bin27_beam2,vel_bin27_beam3,vel_bin28_beam0,vel_bin28_beam1,vel_bin28_beam2,vel_bin28_beam3,vel_bin29_beam0,vel_bin29_beam1,vel_bin29_beam2,vel_bin29_beam3,vel_bin30_beam0,vel_bin30_beam1,vel_bin30_beam2,vel_bin30_beam3,vel_bin31_beam0,vel_bin31_beam1,vel_bin31_beam2,vel_bin31_beam3,vel_bin32_beam0,vel_bin32_beam1,vel_bin32_beam2,vel_bin32_beam3,vel_bin33_beam0,vel_bin33_beam1,vel_bin33_beam2,vel_bin33_beam3,vel_bin34_beam0,vel_bin34_beam1,vel_bin34_beam2,vel_bin34_beam3,vel_bin35_beam0,vel_bin35_beam1,vel_bin35_beam2,vel_bin35_beam3,vel_bin36_beam0,vel_bin36_beam1,vel_bin36_beam2,vel_bin36_beam3,vel_bin37_beam0,vel_bin37_beam1,vel_bin37_beam2,vel_bin37_beam3,vel_bin38_beam0,vel_bin38_beam1,vel_bin38_beam2,vel_bin38_beam3,vel_bin39_beam0,vel_bin39_beam1,vel_bin39_beam2,vel_bin39_beam3,btm_pings_per_ensemble,btm_bottom_track_mode,btm_max_error_velocity,btm_beam0_range,btm_beam1_range,btm_beam2_range,btm_beam3_range,btm_beam0_velocity,btm_beam1_velocity,btm_beam2_velocity,btm_beam3_velocity,btm_beam0_rssi,btm_beam1_rssi,btm_beam2_rssi,btm_beam3_rssi
2021-04-10 16:52:11.000008,1618087931.000008,16971.0,4.0,40.0,10.0,2.0,0.0,64.0,0.0,2.0,31.0,0.0,0.0,130.0,2.93,2.0300000000000002,1.0,21.0,4.0,10.0,16.0,52.0,11.0,8.0,0.0,1484.0,0.0,212.20007604685657,-6.499977002641137,-2.099999181135542,35.0,11.97,51.0,0.0,95.0,0.0,4.6000000000000005,3.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-0.00282313712953481,0.10386916289553647,0.06369636485803842,0.011,0.0034891501741791953,0.12367271068330749,0.07229720923593767,0.038,0.06997318129569595,0.1368160272394821,0.1190425494928807,0.003,-0.010337827391994778,0.11675445981890284,0.09709544498692782,0.01,0.022904147334925337,0.10617543677467316,0.09566178265413738,0.014,0.01356594598208066,0.006326804867359743,0.0795357570516659,-0.039,0.02848434257059272,-0.016075409260773985,0.06970813041116325,-0.02,0.0014675907946711912,0.04263520262587892,0.06469223813031702,-0.028,0.013877640151931088,-0.024651411590688257,0.055178972538458805,-0.059000000000000004,0.01872426475259957,-0.09869897968235113,0.02202074746999736,-0.07,0.06243038673428605,-0.0642102556949005,0.030405425104789746,-0.019,-0.002860667208309046,-0.019456374392529598,0.043061189935033425,-0.007,-0.007030795478804328,-0.02353308839043109,0.016209924914797787,0.059000000000000004,0.0951510201277529,0.02678322638150482,0.02487854805339389,-0.14100000000000001,-0.16531689736050809,-0.009510347598406924,0.03009778622511483,-0.022,0.38174579612341,0.09568067665984423,0.14353172212447757,,,,,,-0.2242809034693613,-0.3282284593520603,-0.03153022058819101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,12.22,13.5,12.49,12.99,-0.054935052621699114,0.019194945484273362,0.07239263817065186,0.0,96.99,92.11,89.67,99.42999999999999
2021-04-10 16:52:14.000031,1618087934.000031,16971.0,4.0,40.0,10.0,2.0,0.0,64.0,0.0,2.0,31.0,0.0,0.0,130.0,2.93,2.0300000000000002,2.0,21.0,4.0,10.0,16.0,52.0,14.0,31.0,0.0,1485.0,0.0,212.29837134688816,-5.713476594660675,-2.1983141965568116,35.0,8.66,51.0,0.0,95.0,0.0,4.6000000000000005,3.1,15.0,0.0,0.0,,,,-0.03964860868833933,-0.2062513501349326,0.1269896389340343,0.0,0.0,0.0,0.0061004651841558635,-0.11546863268025873,0.14136045837322542,0.018301535181034733,-0.3464085409080403,0.42408461060380037,3.0000228881835938,0.0,0.0,0.018301535181034733,-0.3464085409080403,0.0,0.018301535181034733,-0.3464085409080403,0.0,0.0,0.0,0.0,15.0,13.591829141461313,20.05506529431886,147.8899576739545,-0.005629676305357614,0.193986469841075,0.09812011141093646,-0.022,-0.003121641865551264,0.20839081397387432,0.11345714610975084,0.027,0.03964860868833933,0.2062513501349326,0.1269896389340343,0.018000000000000002,-0.029972291955290373,0.23065064635953889,0.11272063275582586,0.008,0.03906289802220541,0.19923235655519117,0.1317215172231628,-0.001,-0.04071017137832006,0.0638464280639789,0.08459500913067494,-0.029,0.018761563707604526,0.028447864294714787,0.10791998306298509,0.039,-0.011917054308090914,0.05648650226889978,0.08738569035055793,-0.057,0.011338624085646667,0.0076710761471326695,0.07237810576817609,0.0,0.014617025386532596,0.04189518233685659,0.06395417316962984,0.064,0.003752502447720416,-0.016348632423203988,0.07511751422451901,0.052000000000000005,-0.03885802967563083,0.002068702495600837,0.06165852738845203,0.018000000000000002,-0.02545216811978626,0.04155553486455372,0.09019049096286702,0.13,-0.01246378293062382,0.022494351478767216,0.05211197814905872,-0.084,-0.14294827237145838,0.11317194634679925,0.07663486142802467,-0.10200000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,12.36,13.31,12.42,13.22,-0.0061004651841558635,0.11546863268025873,0.14136045837322542,-0.002,103.09,106.75,103.09,96.99
2021-04-10 16:52:17.000055,1618087937.000055,16971.0,4.0,40.0,10.0,2.0,0.0,64.0,0.0,2.0,31.0,0.0,0.0,130.0,2.93,2.0300000000000002,3.0,21.0,4.0,10.0,16.0,52.0,17.0,55.0,0.0,1485.0,0.0,212.24288866544538,-1.6778223396499423,-2.1428203867825,35.0,8.69,51.0,0.0,95.0,0.0,4.6000000000000005,3.1,15.0,0.0,0.0,,,,-0.024710379823155392,-0.09744076973090325,0.18944047488127894,0.0,0.0,0.0,0.006396894233753978,0.0235265932788619,0.14943754264860346,0.019190836740243754,0.07058034636345671,0.4483162264431552,3.0000240802764893,0.0,0.0,0.03749237192127849,-0.27582819454458357,0.0,0.03749237192127849,-0.27582819454458357,0.0,0.0,-0.3464085409080403,0.0,15.0,13.46584096413198,20.026903451142594,153.5708760940699,-0.04933188703824177,0.13132625925969366,0.15192359444833403,0.025,-0.005003599419212031,0.09615764369023605,0.15723126773257814,0.033,0.024710379823155392,0.09744076973090325,0.18944047488127894,-0.001,-0.0644861463226716,0.14583861809910276,0.18171855822506144,0.006,0.007350191153592249,0.08855388525987995,0.18171731919491238,-0.066,0.0201365883414035,0.015141292059550986,0.14033979864862367,-0.012,0.033169252860679996,0.017239096799522964,0.17803262118555957,0.047,-0.0046848698087014785,0.03345191129405982,0.13906840628140482,-0.07,-0.015727066706050098,0.010597766655778176,0.10887307617006661,-0.003,-0.015630494905833837,-0.07401495432392295,0.07213511049015109,-0.039,0.08582955160054773,-0.13243385336826285,0.0956742523047992,0.003,-0.05095922472687785,-0.04180613162777271,0.10412686864376987,0.054,-0.05615510017829646,-0.020146907097582708,0.1077158616841868,-0.031,0.013438934609301326,0.010146812534045766,0.1181542941748875,0.017,0.025067494357800972,0.06102108539479199,0.1456057961204262,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,12.49,12.93,12.27,13.040000000000001,-0.006396894233753978,-0.0235265932788619,0.14943754264860346,0.0,101.25999999999999,103.09,98.82,93.33
2021-04-10 16:52:20.000081,1618087940.000081,16971.0,4.0,40.0,10.0,2.0,0.0,64.0,0.0,2.0,31.0,0.0,0.0,130.0,2.93,2.0300000000000002,4.0,21.0,4.0,10.0,16.0,52.0,20.0,81.0,0.0,1485.0,0.0,212.38713161545618,-4.635360774707345,-2.287092268044054,35.0,8.69,51.0,0.0,95.0,0.0,4.6000000000000005,3.1,15.0,0.0,0.0,,,,-0.04507288847246771,-0.0452087610496028,0.08024713483426311,0.0,0.0,0.0,-0.021851573622960724,3.895800099286764e-05,-0.025248905173779035,-0.0655552887393858,0.00011687501540452823,-0.0757473716804195,3.000025987625122,0.0,0.0,-0.028062916818107318,-0.27571131952917904,0.0,-0.028062916818107318,-0.27571131952917904,0.0,0.0,-0.27582819454458357,0.0,13.0,13.234174076287198,16.856321611163878,167.32897836479628,-0.022684664191815473,0.05832933966649666,0.02919065166410343,0.012,0.00030218672234958756,0.025306463467000894,0.02743158015824434,0.001,0.04507288847246771,0.0452087610496028,0.08024713483426311,-0.002,-0.020880102069316304,0.0570303019187367,0.06806295615555256,-0.019,-0.005753673617381251,0.04572976833720511,0.048100764315447256,-0.01,0.024497566125008904,-0.04935362406693855,0.01985167613603747,0.011,-0.01517216160817598,-0.013738054496039273,0.05509148183520975,0.07200000000000001,-0.0030897787915869328,0.024665515606707787,0.06790482756678139,-0.032,-0.020160399655293933,-0.04575856801951535,0.01458464050095893,0.0,-0.030250697688475166,-0.03243615277949162,-0.0024065083058157997,-0.047,0.05874233342562277,-0.05914705637695564,0.0463353427272767,0.0,0.07212737298750718,-0.0082169374197083,0.057603159682100905,0.036000000000000004,-0.0014722770824578662,-0.03730115860958264,0.01929911828491728,0.021,-0.04359031688556446,-0.08880773961480226,-0.03315221950828565,,-0.16806090276603425,-0.026146932396019687,-0.04817541787824537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,12.950000000000001,12.450000000000001,12.77,12.540000000000001,0.021851573622960724,-3.895800099286764e-05,-0.025248905173779035,-0.001,98.82,104.92,100.64999999999999,102.48
2021-04-10 16:52:24.000023,1618087944.000023,16971.0,4.0,40.0,10.0,2.0,0.0,64.0,0.0,2.0,31.0,0.0,0.0,130.0,2.93,2.0300000000000002,5.0,21.0,4.0,10.0,16.0,52.0,24.0,23.0,0.0,1485.0,0.0,212.12992493349086,-0.351203691689985,-2.057924584390643,35.0,8.69,51.0,0.0,95.0,0.0,4.6000000000000005,3.1,15.0,0.0,0.0,,,,-0.08096001544024047,-0.089848483726251,-0.06085002770755026,0.0,0.0,0.0,-0.09609702458594122,-0.06808684619411667,-0.06336042330246626,-0.3843825079826468,-0.27234342388320015,-0.2534380072721538,3.999941825866699,0.0,0.0,-0.4124454248007541,-0.5480547434123793,0.0,-0.4124454248007541,-0.5480547434123793,0.0,0.0,-0.27571131952917904,0.0,15.0,13.075590505462225,13.858060928379325,149.6632616821529,0.040784211493854625,0.057063116000616684,-0.04598313696481244,0.0,0.05790785868035743,0.07701798780873742,-0.05357153588379677,-0.025,0.08096001544024047,0.089848483726251,-0.06085002770755026,-0.011,0.017912881347791385,0.11950623779885107,-0.07030922989895713,-0.001,0.06594110733928425,0.11081558824629215,-0.059503577745352705,-0.008,0.026102532446621127,-0.0096843038105261,-0.10242983969321891,0.032,0.0537223266950822,-0.019825280780078308,-0.07981772896078863,0.014,0.025301183959063514,0.01722276600316948,-0.04613270446732662,-0.017,0.01562952992937097,0.02253376372556562,-0.05847176486602128,-0.007,0.03345443515223502,0.03896889744362121,-0.06358636489589127,0.02,0.03708813116594286,0.08233161792687767,-0.05587463839847606,-0.03,0.06396215692415938,0.05837269761063198,-0.0462436012359216,-0.007,0.044991678044345534,0.0016433248155917832,-0.08075300855265033,-0.005,0.004965011834733308,-0.0044030678795767275,-0.08326440806688533,-0.059000000000000004,-0.0733708494168329,0.0504921273055237,-0.09775614321368874,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,12.34,13.14,13.15,12.35,0.09609702458594122,0.06808684619411667,-0.06336042330246626,-0.001,102.48,101.87,98.82,104.31
2021-04-10 16:52:27.000046,1618087947.000046,16971.0,4.0,40.0,10.0,2.0,0.0,64.0,0.0,2.0,31.0,0.0,0.0,130.0,2.93,2.0300000000000002,6.0,21.0,4.0,10.0,16.0,52.0,27.0,46.0,0.0,1485.0,0.0,211.48903934083748,3.2440212587434454,-1.8844015843896222,35.0,8.69,51.0,0.0,95.0,0.0,4.6000000000000005,3.1,15.0,0.0,0.0,,,,-0.13965366943728283,-0.08531551646401253,-0.05523690128148888,0.0,0.0,0.0,-0.14142172152302168,-0.086432471939723,-0.03434129403289726,-0.4242684351729573,-0.2592994147085624,-0.10302467629613699,3.000023126602173,0.0,0.0,-0.8367138599737114,-0.8073541581209416,0.0,-0.8367138599737114,-0.8073541581209416,0.0,0.0,-0.5480547434123793,0.0,14.0,12.91909810181525,12.304756530281198,168.63894979512528,0.09986039391674767,0.11171614304448928,-0.019733350198463392,-0.03,0.1392418031485595,0.10537970200105695,-0.021721847575799064,-0.041,0.13965366943728283,0.08531551646401253,-0.05523690128148888,-0.003,0.1275175815107554,0.11633900080518988,-0.04242055276982934,0.035,0.030365852460880218,0.11129429695968646,-0.07460894362322243,-0.039,0.1124710452376481,0.022477306712384272,-0.07953637322702312,-0.01,0.12860735676948806,0.05449518784011624,-0.04906548977678769,0.017,0.06599126719611702,0.02012212181484219,-0.09639114517173941,0.039,0.05912660186692065,0.07435757110514721,-0.09287085964398971,0.0,0.020937380895785805,0.009028372806588743,-0.09940379552959754,0.035,-0.00750276401236938,0.01196140754848718,-0.1429532555125405,-0.031,0.04983702673840543,-0.0001871953797929829,-0.1348563521817391,-0.016,0.06700966614493443,-0.004366356730755239,-0.11737393054696692,-0.022,-0.028209497831073904,-0.0030078926608925263,-0.12968105803801566,-0.014,-0.1573875312702129,-0.23067420980891898,-0.026899329539945824,,-0.11392546118265057,0.0009370027232042111,0.2713192055867352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,12.81,12.59,13.38,12.01,0.14142172152302168,0.086432471939723,-0.03434129403289726,0.006,98.21,98.82,96.99,98.82
2021-04-10 16:52:30.000071,1618087950.000071,16971.0,4.0,40.0,10.0,2.0,0.0,64.0,0.0,2.0,31.0,0.0,0.0,130.0,2.93,2.04,7.0,21.0,4.0,10.0,16.0,52.0,30.0,71.0,0.0,1485.0,0.0,210.4219700518643,5.107490837929512,-2.2829960856726177,35.0,8.71,51.0,0.0,95.0,0.0,4.6000000000000005,3.1,15.0,0.0,0.0,,,,-0.1543587507551192,-0.110404871076029,0.043395166873793696,0.0,0.0,0.0,-0.08481618019438833,-0.03141995429839689,4.526720336428709e-05,-0.2544506638672475,-0.09426064946078089,0.0001358027433098034,3.0000250339508057,0.0,0.0,-1.0911645238409589,-0.9016148075817225,0.0,-1.0911645238409589,-0.9016148075817225,0.0,0.0,-0.8073541581209416,0.0,15.0,13.083310457153877,14.931543930101842,155.32418510427718,0.04340432971845922,0.07396367912071794,0.014914366651613152,0.023,0.08455055857435012,0.07795783752110474,0.006912207592254749,-0.006,0.1543587507551192,0.110404871076029,0.043395166873793696,-0.022,0.08095564194389962,0.12566258369818145,0.007489932960225244,-0.007,0.04584768389543919,0.10347476304777621,0.004468030173404285,-0.007,0.10542503784284243,0.08899970620203143,0.019534935162096975,0.02,-0.012711583894592409,0.06298128539228942,-0.01593026444305711,-0.023,0.023222768675633873,0.049127319002408076,-0.005404585337806507,-0.031,0.023958553591578752,0.020147161029248205,-0.024209081194068297,0.004,-0.033573920373390125,0.03970029808866126,-0.03909831457278815,-0.014,-0.007277686531861102,-0.0058253037917307925,-0.08181748660572515,-0.036000000000000004,0.03443728717945489,-0.08580069173041802,-0.06594933320589016,-0.002,0.043196555580930995,0.019081714616570766,-0.00692428720052032,0.096,-0.0027535679185780332,-0.03461224478574307,-0.04280666273618606,-0.032,0.11448374749337228,0.02662233488731528,0.03210487260559392,-0.304,0.1905581012237922,0.1432312040024411,0.02809683715285551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,12.46,12.88,12.92,12.38,0.08481618019438833,0.03141995429839689,4.526720336428709e-05,-0.002,97.6,96.38,105.53,100.64999999999999
2021-04-10 16:52:33.000096,1618087953.000096,16971.0,4.0,40.0,10.0,2.0,0.0,64.0,0.0,2.0,31.0,0.0,0.0,130.0,2.93,2.04,8.0,21.0,4.0,10.0,16.0,52.0,33.0,96.0,0.0,1485.0,0.0,211.19177029085816,4.407722373802879,-2.0030895018972137,35.0,8.71,51.0,0.0,95.0,0.0,4.6000000000000005,3.1,15.0,0.0,0.0,,,,-0.20885830369372288,-0.15675348301692624,0.027596277651938235,0.0,0.0,0.0,-0.15735643951263273,-0.12888036185318075,0.026791850859922882,-0.4720732577912639,-0.3866443119441807,0.08037622328564506,3.0000250339508057,0.0,0.0,-1.5632377816322227,-1.2882591195259032,0.0,-1.5632377816322227,-1.2882591195259032,0.0,0.0,-0.9016148075817225,0.0,14.0,13.179581671830292,15.059634630428924,173.92621328894577,0.09872003587863434,0.08525268665902028,0.006806903373785866,0.033,0.13397457798935114,0.12443528368217792,0.0008201387145952838,0.017,0.20885830369372288,0.15675348301692624,0.027596277651938235,0.0,0.14667149388315726,0.17816823543660104,0.018696330214533166,-0.005,0.14672204819911236,0.1522561876054193,0.015770031963211573,0.001,0.15948731060151766,0.05980682503775062,-0.027220239455209103,0.007,0.102368373291003,0.05186014726410935,-0.02071813880392631,-0.059000000000000004,0.08861884436024159,0.07855614989401255,-0.011984645930719361,0.028,0.04836837657672967,0.018079420642783898,-0.05468669579114237,0.03,0.07052378068564541,0.07587027408132721,-0.03088847468923124,0.132,0.02429013324235202,0.040463784566272844,-0.03460739177752414,0.008,0.1333827133300433,0.012145339544018419,-0.013658056672747759,0.053,0.10978717054038925,0.10462972869462206,0.017899638488675446,0.007,0.10842303939180177,0.13795525293481728,-0.012719776599232645,0.006,0.15681079872052994,0.14820570959631676,-0.1703127741764594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,13.18,12.4,13.18,12.35,0.15735643951263273,0.12888036185318075,0.026791850859922882,0.006,93.94,103.09,111.02,99.42999999999999
2021-04-10 16:52:37.000021,1618087957.000021,16971.0,4.0,40.0,10.0,2.0,0.0,64.0,0.0,2.0,31.0,0.0,0.0,130.0,2.93,2.04,9.0,21.0,4.0,10.0,16.0,52.0,37.0,21.0,0.0,1485.0,0.0,210.0168488314249,5.521209475472226,-2.3848486272579805,35.0,8.75,51.0,0.0,95.0,0.0,4.6000000000000005,3.1,15.0,0.0,0.0,,,,-0.17343535122533602,-0.24718155477094558,0.1865112809627406,0.0,0.0,0.0,-0.059782506621998015,-0.10308674097895694,0.20976457216681801,-0.23912553671100262,-0.4123392219106206,0.8390425349593309,3.999924898147583,0.0,0.0,-1.8023633183432253,-1.7005983414365238,0.0,-1.8023633183432253,-1.7005983414365238,0.0,0.0,-1.2882591195259032,0.0,14.0,13.253755228234661,15.634950939929027,163.44644702944524,0.0736395577650383,0.24023560373783287,0.13215547748348738,-0.039,0.11080711886227039,0.225047607368373,0.14973094812767768,0.009000000000000001,0.17343535122533602,0.24718155477094558,0.1865112809627406,0.009000000000000001,0.1540891766999879,0.2175792956023903,0.18585417872377138,0.002,0.1144289013487528,0.12264984533506149,0.15298379644721494,-0.046,0.1468400263898896,0.14962534665841476,0.1627736535412464,-0.001,0.12054587009607899,0.10581236595161801,0.11354926866563309,-0.043000000000000003,0.051200669037328866,0.014088871026556697,-0.00699965737211217,0.037,0.05770563955523696,0.026487884683194813,0.008393517053705534,0.033,0.03781852254353295,-0.036575970585888296,-0.008997651267109852,-0.018000000000000002,0.06539031615055618,-0.011060701066545397,0.008171134905680721,0.079,0.05771301438946837,-0.014718552567844446,0.03222688598652711,0.152,-0.027994498315407006,0.04879030392584928,0.030867690339446044,-0.018000000000000002,0.04181205010175666,0.048713989508238284,0.04573510350353917,-0.091,-0.02837293943423712,-0.11664882357637162,-0.009166693302911698,,0.3851198206935146,0.1554830882806018,-0.1692977642135942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,12.85,12.700000000000001,13.0,12.540000000000001,0.059782506621998015,0.10308674097895694,0.20976457216681801,-0.004,100.03999999999999,106.75,107.97,96.38
2021-04-10 16:52:40.000052,1618087960.000052,16971.0,4.0,40.0,10.0,2.0,0.0,64.0,0.0,2.0,31.0,0.0,0.0,130.0,2.93,2.04,10.0,21.0,4.0,10.0,16.0,52.0,40.0,52.0,0.0,1485.0,0.0,208.39719866756974,7.339076408740479,-2.350700783452328,35.0,8.75,51.0,0.0,95.0,0.0,4.6000000000000005,3.1,15.0,0.0,0.0,,,,-0.036317070933555504,-0.0739757759369526,0.16367851090883276,0.0,0.0,0.0,-0.003485603059773544,0.05177199575448761,0.11129919598499809,-0.01045691721354938,0.1553175919061993,0.3339010376084953,3.000030994415283,0.0,0.0,-1.8128202355567746,-1.5452807495303245,0.0,-1.8128202355567746,-1.5452807495303245,0.0,0.0,-1.7005983414365238,0.0,14.0,13.045418561451513,15.028775269116009,158.4708583703421,-0.031092222458565882,0.1279624847855072,0.12256376377260077,-0.003,-0.01953191668942377,0.05845776827126253,0.12994303967193002,0.01,0.036317070933555504,0.0739757759369526,0.16367851090883276,-0.001,-0.017436740116929077,0.08140408461129409,0.1591676320823174,0.005,0.03307359097137555,0.07907266846440217,0.184785417937068,0.004,0.02786163301803441,0.026923181029499973,0.15370059117915308,0.014,-0.012772896823831523,0.0232577893259834,0.10138998146955117,-0.065,-0.0038572525845779687,0.005111030894585509,0.10093561792396855,-0.001,-0.00543872038374555,-0.03442106935749676,0.08394409035110112,-0.006,0.005254483388747677,-0.10773555223823304,0.05259696938265869,-0.027,-0.09037558189952112,-0.03483171203296862,0.06014154997316995,-0.004,-0.08202865591356719,-0.008967901393837657,0.06910771558664056,0.022,-0.02117267307436304,-0.03021845609722425,0.07174651786662731,-0.018000000000000002,-0.07237178001576303,-0.0460853417958797,0.05074905643366139,-0.036000000000000004,0.08322817968348493,0.08273917396079991,0.09372459228429876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,12.51,12.72,12.88,12.34,0.003485603059773544,-0.05177199575448761,0.11129919598499809,-0.001,104.92,104.92,110.41,96.99
