,time,x_bl,y_bl,x_no_bl,y_no_bl,depth
2021-04-10 16:52:11.000008,1618087931.000008,0.0,0.0,0.0,0.0,0.0
2021-04-10 16:52:14.000031,1618087934.000031,0.018301535181034733,-0.3464085409080403,0.018301535181034733,-0.3464085409080403,0.0
2021-04-10 16:52:17.000055,1618087937.000055,0.03749237192127849,-0.27582819454458357,0.03749237192127849,-0.27582819454458357,0.0
2021-04-10 16:52:20.000081,1618087940.000081,-0.028062916818107318,-0.27571131952917904,-0.028062916818107318,-0.27571131952917904,0.0
2021-04-10 16:52:24.000023,1618087944.000023,-0.4124454248007541,-0.5480547434123793,-0.4124454248007541,-0.5480547434123793,0.0
2021-04-10 16:52:27.000046,1618087947.000046,-0.8367138599737114,-0.8073541581209416,-0.8367138599737114,-0.8073541581209416,0.0
2021-04-10 16:52:30.000071,1618087950.000071,-1.0911645238409589,-0.9016148075817225,-1.0911645238409589,-0.9016148075817225,0.0
2021-04-10 16:52:33.000096,1618087953.000096,-1.5632377816322227,-1.2882591195259032,-1.5632377816322227,-1.2882591195259032,0.0
2021-04-10 16:52:37.000021,1618087957.000021,-1.8023633183432253,-1.7005983414365238,-1.8023633183432253,-1.7005983414365238,0.0
2021-04-10 16:52:40.000052,1618087960.000052,-1.8128202355567746,-1.5452807495303245,-1.8128202355567746,-1.5452807495303245,0.0
2021-04-10 16:52:43.000076,1618087963.000076,-2.0233792935973973,-1.5274695583956248,-2.0233792935973973,-1.5274695583956248,0.0
2021-04-10 16:52:47.000002,1618087967.000002,-2.4318316264713045,-2.0093017245207356,-2.4318316264713045,-2.0093017245207356,0.0
2021-04-10 16:52:50.000027,1618087970.000027,-2.84702801463597,-2.2119668671166766,-2.84702801463597,-2.2119668671166766,0.0
2021-04-10 16:52:53.000050,1618087973.00005,-3.1237525982052516,-2.2263733858180346,-3.1237525982052516,-2.2263733858180346,0.0
2021-04-10 16:52:56.000085,1618087976.000085,-3.0338576878087764,-2.1034336775632827,-3.0338576878087764,-2.1034336775632827,0.0
2021-04-10 16:53:00.000010,1618087980.00001,-2.9690936197597275,-2.085061638636283,-2.9690936197597275,-2.085061638636283,0.0
2021-04-10 16:53:03.000033,1618087983.000033,-3.037416134688256,-2.1055400323608002,-3.037416134688256,-2.1055400323608002,0.0
2021-04-10 16:53:06.000057,1618087986.000057,-3.1899842061796453,-2.117444350199119,-3.1899842061796453,-2.117444350199119,0.0
2021-04-10 16:53:09.000083,1618087989.000083,-3.4184432982645343,-2.065677702244016,-3.4184432982645343,-2.065677702244016,0.0
2021-04-10 16:53:13.000015,1618087993.000015,-3.5624188364693405,-1.818684572061649,-3.5624188364693405,-1.818684572061649,0.0
2021-04-10 16:53:16.000041,1618087996.000041,-3.5251169694983058,-1.488636612127664,-3.5251169694983058,-1.488636612127664,0.4
2021-04-10 16:53:19.000066,1618087999.000066,-3.411951025930075,-1.0933052783937627,-3.411951025930075,-1.0933052783937627,0.5
2021-04-10 16:53:22.000091,1618088002.000091,-3.2368794316331195,-0.6324396617840882,-3.2368794316331195,-0.6324396617840882,1.0
2021-04-10 16:53:26.000015,1618088006.000015,-2.896090856726808,0.02701295329424691,-2.896090856726808,0.02701295329424691,1.0
2021-04-10 16:53:29.000046,1618088009.000046,-2.64719302986499,0.5639592000112184,-2.64719302986499,0.5639592000112184,1.3
2021-04-10 16:53:32.000070,1618088012.00007,-2.4092218066117423,1.162773304086148,-2.4092218066117423,1.162773304086148,2.0
2021-04-10 16:53:35.000092,1618088015.000092,-2.187802515990781,1.762668242831313,-2.187802515990781,1.762668242831313,2.2
2021-04-10 16:53:39.000016,1618088019.000016,-1.8609218634737519,2.625043078913117,-1.8609218634737519,2.625043078913117,2.2
2021-04-10 16:53:42.000039,1618088022.000039,-1.6381821201434767,3.229577583407458,-1.6381821201434767,3.229577583407458,2.8000000000000003
2021-04-10 16:53:45.000067,1618088025.000067,-1.3993384180275046,3.8841561858039295,-1.3993384180275046,3.8841561858039295,3.7
2021-04-10 16:53:48.000090,1618088028.00009,-1.1796221702311418,4.5307730871006635,-1.1796221702311418,4.5307730871006635,4.0
2021-04-10 16:53:52.000011,1618088032.000011,-0.835421348866743,5.436649103141744,-0.835421348866743,5.436649103141744,4.0
2021-04-10 16:53:55.000033,1618088035.000033,-0.5402395562785561,6.1584176412414,-0.5402395562785561,6.1584176412414,4.5
2021-04-10 16:53:58.000054,1618088038.000054,-0.25165637686442455,6.874583248781539,-0.25165637686442455,6.874583248781539,5.0
2021-04-10 16:54:01.000076,1618088041.000076,0.06582115381838283,7.649606178319346,0.06582115381838283,7.649606178319346,5.5
2021-04-10 16:54:05.000005,1618088045.000005,0.5439947010778611,8.718039041842896,0.5439947010778611,8.718039041842896,5.5
2021-04-10 16:54:08.000027,1618088048.000027,0.8797427285942688,9.486751541262667,0.8797427285942688,9.486751541262667,6.5
2021-04-10 16:54:11.000048,1618088051.000048,1.2184058576063426,10.295097253376767,1.2184058576063426,10.295097253376767,7.0
2021-04-10 16:54:14.000069,1618088054.000069,0.345835860617025,10.091118440225214,0.345835860617025,10.091118440225214,7.6000000000000005
2021-04-10 16:54:17.000090,1618088057.00009,-0.6295828364848599,9.860292397258718,-0.6295828364848599,9.860292397258718,7.6000000000000005
2021-04-10 16:54:21.000011,1618088061.000011,-1.9811266260659164,9.37378713226358,-1.9811266260659164,9.37378713226358,8.3
2021-04-10 16:54:24.000041,1618088064.000041,-3.0114958340181532,8.834882453910726,-3.0114958340181532,8.834882453910726,9.200000000000001
