time,pitch,depth,depth_rate,v_N,v_E,pump_volume,thruster_power,thruster_current
1574771234.24539,-0.18326,0.0,0.0,-0.156075,-0.435901,-142.128,0.6195,0.2065
1574771238.85406,-0.383972,0.303778,0.0680049,-0.317552,-0.7033,-148.955,0.6195,0.2065
1574771243.46564,-0.546288,0.911333,0.13007,-0.0747018,0.871359,-156.917,0.618581,0.2065
1574771248.07715,-0.521853,1.7122,0.174824,-0.0747018,0.871359,-165.9,,
1574771252.68353,-0.476475,2.59592,0.192321,-0.0747018,0.871359,-175.291,0.6195,0.2065
1574771257.29382,-0.485202,3.28632,0.14857,-0.0747018,0.871359,-186.264,0.6195,0.2065
1574771261.89734,-0.507891,4.25289,0.211688,-0.0747018,0.871359,-197.505,0.6195,0.2065
1574771266.50983,-0.537561,5.3023,0.227244,-0.00679644,-0.353963,-210.354,0.6195,0.2065
1574771270.80649,-0.535816,5.93747,0.145782,0.0181076,-0.225056,-222.935,0.6195,0.2065
1574771275.11081,-0.563741,7.04212,0.257194,-0.00132784,-0.380395,-236.358,0.6195,0.2065
1574771279.57211,-0.553269,8.09153,0.243258,0.0121771,-0.367073,-250.317,0.6195,0.2065
1574771283.86902,-0.549779,9.00287,0.21179,0.0369313,-0.319188,-259.887,0.6195,0.2065
1574771288.08136,-0.553269,10.0523,0.251116,0.10392,-0.364814,-261.533,,
1574771292.28992,-0.55676,11.2674,0.285103,0.169438,-0.393431,-261.776,3.2952,0.5369
1574771296.65738,-0.539307,12.4825,0.277994,0.247663,-0.355017,-261.776,3.2952,0.5369
1574771300.86877,-0.507891,13.9185,0.343468,0.424466,-0.384882,-261.814,3.04172,0.4956
1574771305.08252,-0.445059,15.2441,0.311534,0.509989,-0.308861,-261.903,3.03675,0.4956
1574771309.45526,-0.441568,16.4592,0.279015,0.506259,-0.180271,-262.018,3.28981,0.5369
1574771313.82455,-0.441568,17.5086,0.241578,0.462484,-0.0396489,-262.031,3.03675,0.4956
1574771318.03961,-0.439823,18.9723,0.346674,0.664675,0.10171,-262.044,3.03675,0.4956
1574771322.24207,-0.441568,20.1322,0.266823,0.474802,0.195699,-262.044,3.03675,0.4956
1574771326.45197,-0.445059,21.2921,0.276689,0.528484,-0.011993,-262.056,3.03675,0.4956
1574771330.82031,-0.441568,22.5072,0.277169,0.387196,0.367435,-262.056,3.03675,0.4956
1574771335.0242,-0.455531,23.7499,0.295606,0.303904,0.460895,-262.056,,
1574771339.22943,-0.445059,25.1307,0.330337,0.16269,0.611433,-262.056,5.05424,0.6608
1574771343.45773,-0.432842,26.401,0.298203,-0.0388747,0.585286,-262.146,5.05424,0.6608
1574771347.8197,-0.441568,27.9199,0.346067,-0.212131,0.633992,-262.235,5.05424,0.6608
1574771352.02841,-0.441568,29.356,0.345285,-0.349504,0.568111,-262.235,4.73835,0.6195
1574771356.23593,-0.450295,30.7092,0.319224,-0.380056,0.46933,-262.273,5.05424,0.6608
1574771360.44589,-0.47473,32.09,0.326896,-0.391921,0.435273,-262.286,4.73835,0.6195
1574771364.81183,-0.488692,33.8298,0.401898,-0.464761,0.523473,-262.273,4.73835,0.6195
1574771369.02512,-0.50091,35.3763,0.36184,-0.366405,0.49157,-262.286,4.73536,0.6195
1574771373.39371,-0.493928,37.0885,0.408933,-0.350035,0.611195,-262.286,4.73536,0.6195
1574771377.60403,-0.476475,38.5798,0.356338,-0.221929,0.596749,-262.312,5.05105,0.6608
1574771381.97226,-0.481711,40.1539,0.358406,-0.115371,0.622485,-262.26,,
1574771386.17691,-0.471239,41.7832,0.375514,-0.0189633,0.678896,-262.299,5.52029,0.7021
1574771390.38724,-0.483456,43.2469,0.34999,0.13011,0.601785,-262.324,5.19557,0.6608
1574771394.59933,-0.486947,44.6553,0.345117,0.145735,0.584511,-262.299,5.19557,0.6608
1574771398.96152,-0.479966,46.3951,0.38483,0.245845,0.637123,-262.299,5.19557,0.6608
1574771403.16745,-0.493928,47.9969,0.398343,0.278985,0.626611,-262.286,5.19557,0.6608
1574771407.37527,-0.472984,49.6539,0.377184,0.183895,0.654228,-262.299,5.19557,0.6608
1574771411.5806,-0.459022,51.1727,0.361124,0.118805,0.660291,-262.286,5.19557,0.6608
1574771415.94733,-0.459022,52.8297,0.382231,-0.00372049,0.710554,-262.299,5.19557,0.6608
1574771420.15247,-0.45204,54.1553,0.325694,-0.123439,0.601349,-262.299,5.19557,0.6608
1574771424.3551,-0.441568,55.8399,0.384872,-0.288482,0.686271,-262.299,5.19557,0.6608
1574771428.56528,-0.462512,57.2207,0.328686,-0.28131,0.535817,-262.337,,
1574771432.93643,-0.455531,58.8776,0.374287,-0.392063,0.581257,-262.312,5.08797,0.6608
1574771437.30624,-0.471239,60.507,0.390545,-0.394129,0.586526,-262.35,5.08797,0.6608
1574771441.52127,-0.476475,61.9983,0.342428,-0.337531,0.509954,-262.375,5.08797,0.6608
1574771445.7316,-0.485202,63.7105,0.420172,-0.359931,0.64402,-262.337,5.08797,0.6608
1574771450.0929,-0.492183,65.1741,0.33547,-0.208343,0.539934,-262.439,5.08797,0.6608
1574771454.30377,-0.492183,66.7483,0.377759,-0.124517,0.640584,-262.375,5.08797,0.6608
1574771458.51007,-0.497419,68.4328,0.399664,-0.00357632,0.68302,-262.452,5.08797,0.6608
1574771462.72369,-0.50091,70.2831,0.422439,0.122027,0.706461,-262.414,5.08797,0.6608
1574771467.08734,-0.492183,71.9401,0.381439,0.192673,0.630203,-262.426,5.08797,0.6608
1574771471.2955,-0.479966,73.6523,0.40136,0.226097,0.675734,-262.49,5.08797,0.6608
1574771475.50192,-0.481711,75.0883,0.345202,0.188344,0.579664,-262.516,5.40597,0.7021
1574771479.71024,-0.466003,76.6072,0.375405,0.167343,0.66622,-262.439,5.08797,0.6608
1574771484.07449,-0.457276,78.2366,0.358809,0.065299,0.665971,-262.516,5.08797,0.6608
1574771488.28317,-0.44855,79.5621,0.325055,-0.0473767,0.615715,-262.528,5.08797,0.6608
1574771492.49597,-0.439823,81.081,0.349733,-0.186998,0.652138,-262.503,4.76997,0.6195
1574771496.70767,-0.436332,82.6275,0.362094,-0.294876,0.644066,-262.503,5.08797,0.6608
1574771501.07782,-0.44855,84.036,0.325046,-0.321732,0.527082,-262.541,5.40597,0.7021
1574771505.28961,-0.466003,85.3892,0.323266,-0.336131,0.485435,-262.477,5.08797,0.6608
1574771509.50485,-0.471239,87.0461,0.391164,-0.392707,0.58884,-262.528,5.08797,0.6608
1574771513.71918,-0.47822,88.4822,0.340133,-0.299782,0.525574,-262.528,5.08797,0.6608
1574771518.0896,-0.47473,90.0011,0.36233,-0.24455,0.602254,-262.516,,
1574771522.29849,-0.47822,91.6028,0.382185,-0.154298,0.663058,-262.554,5.03149,0.6608
1574771526.50528,-0.481711,93.0665,0.346674,-0.0512213,0.609978,-262.554,4.71702,0.6195
1574771530.71365,-0.483456,94.7787,0.395428,0.0498022,0.694777,-262.541,5.03149,0.6608
1574771535.0809,-0.483456,96.3528,0.357917,0.0822053,0.624411,-262.554,5.03149,0.6608
1574771539.29565,-0.479966,97.9269,0.374969,0.0914313,0.65891,-262.528,5.03149,0.6608
1574771543.49973,-0.47822,99.3905,0.348158,0.0722786,0.615279,-262.541,5.03149,0.6608
1574771547.70682,-0.471239,100.937,0.379977,0.0455515,0.685811,-262.554,5.03149,0.6608
1574771552.06519,-0.457276,102.401,0.335547,0.0065477,0.625237,-262.541,5.03149,0.6608
1574771556.27045,-0.459022,103.92,0.361124,-0.0467992,0.66926,-262.567,5.03149,0.6608
1574771560.48068,-0.460767,105.466,0.362859,-0.0876508,0.665774,-262.554,4.72171,0.6195
1574771564.85632,-0.466003,107.095,0.361757,-0.116034,0.65141,-262.567,5.03649,0.6608
1574771569.21921,-0.464258,108.614,0.364329,-0.134526,0.655359,-262.554,5.03649,0.6608
1574771573.42902,-0.471239,110.216,0.364031,-0.150292,0.640774,-262.554,5.03649,0.6608
1574771577.63876,-0.471239,111.707,0.369127,-0.156953,0.648766,-262.554,5.03649,0.6608
1574771581.84866,-0.471239,113.281,0.375954,-0.154115,0.662271,-262.567,5.35127,0.7021
1574771586.21106,-0.466003,114.773,0.329928,-0.139692,0.586364,-262.554,5.03649,0.6608
1574771590.42444,-0.472984,116.347,0.387047,-0.142646,0.682807,-262.554,4.72171,0.6195
1574771594.63138,-0.472984,118.004,0.393113,-0.109627,0.700065,-262.567,5.03649,0.6608
1574771598.83719,-0.476475,119.495,0.356338,-0.0720742,0.632587,-262.567,5.03649,0.6608
1574771603.20361,-0.476475,121.014,0.346778,-0.0302577,0.618663,-262.554,5.03649,0.6608
1574771607.4097,-0.47822,122.533,0.363544,0.028231,0.646596,-262.567,5.03649,0.6608
1574771611.6178,-0.472984,124.135,0.37884,0.104428,0.674563,-262.554,5.03649,0.6608
1574771615.82962,-0.466003,125.709,0.359799,0.160309,0.638216,-262.554,5.03649,0.6608
1574771620.19153,-0.469494,127.366,0.380737,0.211354,0.65829,-262.567,4.72171,0.6195
1574771624.40097,-0.462512,128.774,0.328994,0.204195,0.570296,-262.554,5.03717,0.6608
1574771628.76947,-0.462512,130.293,0.350378,0.169276,0.623039,-262.554,4.72235,0.6195
1574771632.97952,-0.459022,131.84,0.370243,0.110004,0.679182,-262.567,5.03717,0.6608
1574771637.3497,-0.446804,133.386,0.364226,0.0121414,0.695581,-262.554,5.03717,0.6608
1574771641.56134,-0.441568,134.794,0.322441,-0.076921,0.617559,-262.554,4.72235,0.6195
1574771645.76923,-0.441568,136.286,0.356252,-0.164221,0.668588,-262.567,5.03717,0.6608
1574771649.97882,-0.446804,137.722,0.342077,-0.202836,0.620577,-262.567,4.72235,0.6195
1574771654.33862,-0.45204,139.241,0.348129,-0.217058,0.61982,-262.567,5.03717,0.6608
1574771658.54831,-0.466003,140.677,0.343468,-0.197133,0.596074,-262.567,5.35199,0.7021
1574771662.76141,-0.466003,142.223,0.378674,-0.186352,0.667436,-262.579,4.72235,0.6195
1574771666.97061,-0.471239,143.604,0.328373,-0.116188,0.581463,-262.554,5.03717,0.6608
1574771671.32892,-0.47473,145.233,0.374564,-0.0889039,0.666304,-262.567,5.03717,0.6608
1574771675.53268,-0.476475,146.752,0.360781,-0.0651522,0.641411,-262.541,5.03717,0.6608
1574771679.73962,-0.476475,148.464,0.391271,-0.0329661,0.699044,-262.579,5.03717,0.6608
